numcode,country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996,num_articles1997,num_articles1998,num_articles1999,num_articles2000,num_articles2001,num_articles2002,num_articles2003,num_articles2004,num_articles2005,num_articles2006,num_articles2007,num_articles2008,num_articles2009,num_articles2010,num_articles2011,num_articles2012,num_articles2013,num_articles2014,num_articles2015
4,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,1,,,
8,Albania,,,,,,3,3,3,3,,,,,,,,,,,,,,3,15,8,
12,Algeria,,,,,,,,2,,,4,8,4,4,4,3,3,4,,,,4,236,1080,4108,6211
20,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,,,,,,,,,,,,,1,1,,
28,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,1,,15
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,,,,,,,,,,,,,,,,,,,,,,,49,171,255,374
36,Australia,,,,,,,18,26,34,39,122,121,92,90,105,127,132,80,85,87,86,150,278,404,476,434
40,Austria,,,,,,,,,91,85,85,79,61,61,75,122,457,581,690,880,976,1359,2369,4309,11525,33563
44,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,,,,,,,,,,,,,,,,,,,,,,3,3,,,
50,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,,,,,,,,,,,,,,3,,,2,2,,,,8,476,11132,15003,16623
52,Barbados,,,,,,,,,,,,,,,,,,,,,,,,1,,
56,Belgium,,,,,0,,238,238,105,103,102,47,31,189,333,524,253,114,152,177,229,978,1293,2365,3353,8109
60,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia,,,,,,,,,,,,,,,,,,,,,2,,,3,6,7
70,Bosnia and Herzegovina,,,,,,,,,,,,2,1,2,2,1,1,2,2,3,3,3,31,66,25,14
72,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,,,,,,,,,,,5,5,6,7,6,5,6,6,6,5,5,19,109,403,1815,3425
84,Belize,,,,,,,,,,,15,,,,,,,,,,,,,,,
90,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,,,,1,26,31,37,1,1,2,36,58,61,65,74,78,79,85,90,100,125,168,97,4604,11011,15502
108,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,,,,,,,,,0,,3,3,2,2,3,1,,,,,,,11,60,120,145
116,Cambodia,,,,,,,,,,,,,,,,,,,,,,,1,1,,
120,Cameroon,,,,,,,,,,,,,,,,,,,,,,,4,8,11,23
124,Canada,,,,,415,365,340,324,333,364,488,561,574,586,554,461,456,712,736,760,766,798,937,1027,889,1748
132,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,8,8
144,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Chad,,,,,,,,,,,,,,,,,,,,,1,3,4,17,15,28
152,Chile,,,,,,,,,,,,,,,,,,,,,,,5,10,16,24
156,China,,,,,,,,,,,,,,,,,,,1,5,4,6,2,4,5,38
158,"Taiwan, Province of China",,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,,,,,,,,,,,,,,,,,,,,,,,3,3,,7
174,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Congo, the Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,2,,7
184,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,,,,,,,,,,,,,,,,,,,,,,1,2,5,5,8
191,Croatia,,,,,,,,,,,,,,,,,,,,,4,4,52,59,28,23
192,Cuba,,,,,,,,,,,6,,,,,,,,,,,,14,24,20,41
196,Cyprus,,,,,,,,,5,15,8,30,27,57,558,1577,2511,2327,1080,499,367,482,1085,1635,2560,3802
203,Czech Republic,,,,,,,,,,,15,23,17,17,14,25,45,33,54,71,59,23,124,174,290,407
204,Benin,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
208,Denmark,46,71,108,129,129,129,127,145,144,231,258,237,229,200,195,200,224,261,302,544,1233,1290,2018,3357,8721,13813
212,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Dominican Republic,,,,,,,,,,,,,,,,,,,,,1,1,7,3,,
218,Ecuador,,,,12,13,15,15,15,15,15,15,2,,1,2,1,1,12,10,11,11,11,11,15,13,17
222,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,5
226,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,8,24
232,Eritrea,,,,,,,,,,,0,,,,,,,,,,,,,,,
233,Estonia,,,,,,,,,,,,4,,,,,,,,,,,,12,6,6
238,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,,,,,,,,,27,27,26,32,25,34,40,39,54,51,65,83,82,161,328,429,493,1270
250,France,,,,,,213,192,196,192,174,148,192,207,191,205,213,216,217,233,244,280,351,640,1817,4121,7890
